"product","plate_weld","saw_front","turn_over","saw_back","longi_attach","longi_weld","unit_assy","sub_assy"
"2471_631","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2471_236","3.0","2.6","0.5","2.6","1.6","2.0","0.0","2.5"
"5450_224","1.5","1.5","0.5","1.5","1.3","1.7","0.0","0.0"
"2434_237","3.0","2.6","0.5","2.6","1.6","2.0","0.0","2.5"
"2471_632","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2470_651","0.5","0.7","0.5","0.7","0.8","1.3","0.0","2.5"
"2471_622","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2470_642","0.5","0.7","0.5","0.7","0.8","1.3","0.0","2.5"
"2434_624","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"5450_236","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"5450_225","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"2471_424","3.3","2.8","0.5","2.8","4.7","4.0","0.0","3.0"
"5450_233","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"2434_422","3.3","2.8","0.5","2.8","4.7","4.0","0.0","3.0"
"2434_228","3.0","2.6","0.5","2.6","1.6","2.0","0.0","4.5"
"2434_632","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"5444_244","1.5","1.5","0.5","1.5","1.3","1.7","0.0","0.0"
"2434_227","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
"2434_622","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"5444_203","3.0","3.5","0.5","2.6","1.8","2.0","0.0","2.5"
"5444_206","3.0","3.5","0.5","2.6","1.8","2.0","0.0","3.5"
"2470_652","0.5","0.7","0.5","0.7","0.8","1.3","0.0","2.5"
"5444_723","2.5","2.2","0.5","2.2","1.5","1.7","4.0","1.0"
"2471_433","3.3","2.8","0.5","2.8","4.7","4.0","0.0","7.0"
"5450_533","3.0","4.7","0.5","2.6","2.3","2.3","2.0","2.0"
"2434_236","3.0","2.6","0.5","2.6","1.6","2.0","0.0","2.5"
"5444_254","1.5","1.5","0.5","1.5","1.3","1.7","0.0","0.0"
"2434_225","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
"5450_624","2.0","2.1","0.5","1.9","1.7","2.0","0.0","3.0"
"5444_243","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"2434_224","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
"5444_733","2.5","2.2","0.5","2.2","1.5","1.7","4.0","0.0"
"5450_235","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"5445_721","2.5","2.2","0.5","2.2","1.5","1.7","0.0","7.0"
"2434_634","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2471_226","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
"5450_226","1.5","1.5","0.5","1.5","1.3","1.7","0.0","3.5"
"5444_253","1.5","1.5","0.5","1.5","1.3","1.7","0.0","0.0"
"5450_234","1.5","1.5","0.5","1.5","1.3","1.7","0.0","2.5"
"2434_235","3.0","2.6","0.5","2.6","1.6","2.0","0.0","2.5"
"5450_634","2.0","2.1","0.5","1.9","1.7","2.0","0.0","2.5"
"2471_623","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2470_641","0.5","0.7","0.5","0.7","0.8","1.3","0.0","2.0"
"2471_621","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2434_623","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2470_405","2.8","5.4","0.5","3.1","4.0","3.3","0.0","6.0"
"2471_633","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2471_422","3.3","2.8","0.5","2.8","4.7","4.0","0.0","3.0"
"2471_434","3.3","2.8","0.5","2.8","4.7","4.0","0.0","7.0"
"2434_234","3.0","2.6","0.5","2.6","1.6","2.0","0.0","2.5"
"5450_223","1.5","1.5","0.5","1.5","1.3","1.7","0.0","1.5"
"2471_432","3.3","2.8","0.5","2.8","4.7","4.0","0.0","7.0"
"2434_238","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
"5450_635","2.0","2.1","0.5","1.9","1.7","2.0","0.0","2.5"
"5450_523","3.0","4.7","0.5","2.6","2.3","2.3","2.0","3.0"
"2434_431","9.899999999999999","8.399999999999999","1.5","8.399999999999999","14.100000000000001","12.0","0.0","7.0"
"2434_633","2.0","1.9","0.5","1.9","1.4","1.7","0.0","2.0"
"2434_432","3.3","2.8","0.5","2.8","4.7","4.0","0.0","7.0"
"2434_421","9.9","18.9","1.5","10.8","14.100000000000001","12.0","0.0","6.0"
"5450_625","2.0","2.1","0.5","1.9","1.7","2.0","0.0","2.5"
"2434_226","3.0","2.6","0.5","2.6","1.6","2.0","0.0","3.5"
